book_title,author_name,keywords
Switch! The Lost Kingdoms of Karibu,Karen Prince (Goodreads Author),goodreads; ethan; thoughts; voting; wins; multiple; choice; winners; joe; places; authors; won; books; awards; verified; users; flynn; useless; sucking; communicating
The Wishing Spell,"Chris Colfer, Brandon Dorman (Illustrator)",conner; alex; fairy; stories; land; face; tale; trolls; bailey; cherished; goblins; world; wolves; uniquely; wishing; spell; paced; foreign; froggy; witches
The Surgeon,Tess Gerritsen (Goodreads Author),gerritsen; physician; rizzoli; isles; killer; ritualistic; cordell; attacker; tess; moore; performs; finishing; targets; stalking; killings; rape; closely; subjected; lone; apartments
ثلاثية غرناطة,"رضوى عاشور, Radwa Ashour",ashour; في; radwa; آخر; عن; cairo; translated; سقوط; المصرية; رضوى; الله; علي; جميع; عبد; عام; محمد; عاشور; أبطالها; يكتشف; الأحداث
Firelight,Sophie Jordan (Goodreads Author),kingsolver; jacinda; mortal; inner; stranger; prize; copperhead; bellwether; knows; human; vegetable; descendant; surroundings; congo; defies; slipping; saves; stirs; costs; secret
"Animal, Vegetable, Miracle: A Year of Food Life","Barbara Kingsolver, Steven L. Hopp, Camille Kingsolver, Richard A. Houser (Illustrator)",booksellers; food; sense; book; award; independent; barbara; buy; choice; neighborhood; winners; water; center; better; family; books; inclusion; yields; journalistic; breathed
Tigana,Guy Gavriel Kay (Goodreads Author),kay; thierry; tigana; orane; ferrieres; epic; dark; crusade; overthrow; sensuous; magnificently; beleaguered; fionavar; brilliance; conquerors; rendered; remembered; hate; spoken; people
Opposition,Jennifer L. Armentrout (Goodreads Author),armentrout; daemon; ash; blood; novella; earth; destroy; series; flesh; welcomed; hybrid; blurred; jennifer; lynn; luxen; cherish; outcome; ensure; mankind; lux
Pure,Jennifer L. Armentrout (Goodreads Author),armentrout; gods; alex; ash; blood; seth; novella; series; threat; flesh; jennifer; lynn; 2013; 1001; spin; neutralize; outlet; aether; sucking; 2015
The Harry Potter Collection 1-4,"J.K. Rowling, Mary GrandPré (Illustrator)",potter; grandpré; harry; books; scholastic; rowling; hardcover; rosenstock; barb; knopf; buy; set; box; kandinsky; noisy; art; paint; yep; magic; plum
Deity,Jennifer L. Armentrout (Goodreads Author),armentrout; awakening; ash; seth; blood; birthday; novella; series; flesh; time; fate; jennifer; lynn; 2013; fanatical; catskills; goner; 1001; shatters; apollyon
Spells,Aprilynne Pike,pike; faerie; laurel; aprilynne; wings; tamani; said; choice; ll; best; selling; seller; illusions; summoned; guess; avalon; isbn; whisper; someday; debuted
Tiger's Quest,Colleen Houck (Goodreads Author),tiger; kelsey; ren; reawakened; colleen; saga; rating; curse; tigers; average; crazy; quest; duo; oregon; binds; eighteenth; hayes; kishan; 300; jungles
Lucifer's Hammer,"Larry Niven, Jerry Pournelle",inferno; benito; hammer; lucifer; hell; chances; million; isbn; allen; hit; thousand; alternate; head; earth; cover; dante; sins; niven; sees; meets
